id,Departamento,Creditos,Monto,Socias
1,Boaco,2697,27750000,2222
2,Carazo,6199,58456500,4751
3,Chinandega,9178,87823500,6587
4,Chontales,3394,30135000,2645
5,Esteli,5855,63370500,4352
6,Granada,3310,31352500,2517
7,Jinotega,3480,30245000,2831
8,Leon,7530,70485500,5838
9,Madriz,3279,29997000,2887
10,Managua,20899,192472500,15843
11,Masaya,9832,93154500,7248
12,Matagalpa,8629,79012000,6319
13,Nueva Segovia,4052,35850500,3234
14,Region Autonoma de la Costa Caribe Norte,1094,9189000,874
15,Region Autonoma de la Costa Caribe Sur,4081,44557500,3116
16,Rio San Juan,1053,9754000,829
17,Rivas,7256,66565500,5686
